Row Type,Vote,Description,Date,Outcome,NewsLink,Ken Sim,Brian Montague,Sarah Kirby-Yung,Mike Klassen,Lenny Zhou,Peter Meiszner,Lisa Dominato,Rebecca Bligh,Pete Fry,Adriane Carr,Christine Boyle,Lucy Maloney,Sean Orr
CouncilVote,11267,1. Downtown Eastside Housing Implementation - Amendments to the FC-1 District in the Zoning and Development By-law and the Downtown Eastside/Oppenheim,2025-12-16,,,In Opposition,Absent,Absent,In Opposition,In Opposition,In Opposition,In Opposition,In Favour,In Favour,,,In Favour,In Favour
CouncilVote,11268,1. Downtown Eastside Housing Implementation - Amendments to the FC-1 District in the Zoning and Development By-law and the Downtown Eastside/Oppenheim,2025-12-16,,,In Favour,Absent,Absent,In Favour,In Favour,In Favour,In Favour,In Opposition,In Opposition,,,In Opposition,In Opposition
,,,,,,,,,,,,,,,,,,
Vote,Villages Planning Program,"Plan designed to transform 17 small commercial nodes across the city into walkable, mixed-use community hubs.",2026-07-28,Fail,https://www.cbc.ca/news/canada/british-columbia/vancouver-council-rejects-villages-plan-9.7288472,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,,,Supported,Opposed
CouncilVote,10256,Villages Planning Program - Scope of Work,2024-10-22,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,,
,,,,,,,,,,,,,,,,,,
Vote,Intersection safety cameras,Determines whether Vancouver seeks more speed and red-light cameras.,2023-11-01,Fail,https://vancouver.citynews.ca/2023/11/01/vancouver-speed-red-light-cameras/,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,,Supported,Supported,Supported,,
CouncilVote,9606,A2. Creating Safer Streets for People of All Ages with Intersection Safety Cameras,2023-11-01,,,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
CouncilVote,9607,A2. Creating Safer Streets for People of All Ages with Intersection Safety Cameras,2023-11-01,,,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
CouncilVote,9608,A2. Creating Safer Streets for People of All Ages with Intersection Safety Cameras,2023-11-01,,,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Opposition,In Opposition,In Opposition,,
CouncilVote,9609,A2. Creating Safer Streets for People of All Ages with Intersection Safety Cameras,2023-11-01,,,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Opposition,In Opposition,In Opposition,,
CouncilVote,9610,A2. Creating Safer Streets for People of All Ages with Intersection Safety Cameras,2023-11-01,,,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,
CouncilVote,9611,A2. Creating Safer Streets for People of All Ages with Intersection Safety Cameras,2023-11-01,,,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,Abstain,In Opposition,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Additional transportation-safety funding,"Adds funding for traffic-calming, crossings, medians, and safety upgrades.",2023-12-12,Pass,https://visionzerovancouver.ca/2024/01/16/vision-zero-vancouver-2023-vancouver-council-in-review/,Supported,Absent,Supported,Supported,Supported,Absent,Supported,Supported,Supported,Supported,Supported,,
CouncilVote,9626,Funding Applications to B.C. Active Transportation Infrastructure Grants Program - Amendment,2023-11-14,,,In Favour,Absent,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,,
CouncilVote,9628,Funding Applications to B.C. Active Transportation Infrastructure Grants Program - final amended motion,2023-11-14,,,In Favour,Absent,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,Police access to traffic cameras,"Allows VPD access to city traffic cameras, raising major privacy and surveillance questions.",2024-10-23,Pass,https://vancouver.citynews.ca/2024/10/23/vancouver-city-council-police-access-traffic-camera-passed/,Supported,Proposed,Supported,Supported,Supported,Supported,Supported,Supported,Opposed,Supported,,,
CouncilVote,10278,Motion 2. Enhancing Public Safety through Real-Time Access to the City's Traffic Camera Network,2024-10-23,,,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Favour,In Favour,Absent,,
CouncilVote,10279,Motion 2. Enhancing Public Safety through Real-Time Access to the City's Traffic Camera Network,2024-10-23,,,In Opposition,In Opposition,In Favour,In Opposition,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,,
CouncilVote,10280,Motion 2. Enhancing Public Safety through Real-Time Access to the City's Traffic Camera Network,2024-10-23,,,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,In Opposition,Abstain,In Opposition,In Favour,In Favour,Absent,,
CouncilVote,10281,Motion 2. Enhancing Public Safety through Real-Time Access to the City's Traffic Camera Network,2024-10-23,,,In Opposition,In Opposition,In Favour,In Opposition,In Opposition,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,,
CouncilVote,10282,Motion 2. Enhancing Public Safety through Real-Time Access to the Cityâ€™s Traffic Camera Network,2024-10-23,,,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Opposition,In Favour,Absent,,
,,,,,,,,,,,,,,,,,,
Vote,Renew Vancouver's Vision Zero plan,Requires an updated road-safety strategy with clearer targets and accountability.,2025-07-09,Pass,https://council.vancouver.ca/20250709/pspc20250709ag.htm,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Supported,,,Supported,Supported
CouncilVote,10847,A4. Developing a Vision Zero Road Safety Policy and Action Plan,2025-07-09,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
CouncilVote,10848,A4. Developing a Vision Zero Road Safety Policy and Action Plan,2025-07-09,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,Safe Streets for Trick or Treat,"Considers simpler, safer temporary street closures for Halloween block parties.",2025-10-29,Fail,https://vancouver.citynews.ca/2025/10/30/vancouver-city-council-rejects-safe-streets-for-trick-or-treats-motion/,Absent,Amended,Opposed,Opposed,Opposed,Opposed,Absent,Absent,Supported,,,Proposed,Supported
CouncilVote,11067,Motion 1. Safe Streets for Trick or Treats: Creating Safe Pedestrian Areas to Make Halloween a Little Less Scary,2025-10-29,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,Absent,In Opposition,,,In Opposition,In Opposition
,,,,,,,,,,,,,,,,,,
Vote,Prevent rollback of safety projects,Attempts to protect previously approved road-safety and active-transport projects from cuts.,2026-03-10,Fail,https://council.vancouver.ca/20260310/documents/r7.pdf,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed,Supported,Supported,,,Supported,Supported
CouncilVote,10847,A4. Developing a Vision Zero Road Safety Policy and Action Plan,2025-07-09,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
CouncilVote,10848,A4. Developing a Vision Zero Road Safety Policy and Action Plan,2025-07-09,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,,,In Favour,In Favour
,,,,,,,,,,,,,,,,,,
Vote,Vision Zero action-plan - lower speed limits downtown,Would have lowered the speed limit to 30 or 40km/h on select major roadways with high pedestrian activity downtown,2026-04-29,Fail,https://visionzerovancouver.ca/2026/06/10/abc-guts-road-safety/,Opposed,Opposed,Opposed,Opposed,Opposed,Amended,Opposed,Supported,Absent,,,Proposed,Supported
,,,,,,,,,,,,,,,,,,
Vote,2024 VPD budget adjustment,Approves a $2.1 million VPD budget increase and a one-time $11.2 million reallocation to address forecasted police-budget deficits.,2024-12-03,Pass,https://council.vancouver.ca/20241203/documents/spec20241203min.pdf,Supported,Supported,Abstained,Supported,Supported,Supported,Absent,Absent,Abstained,Abstained,Absent,,
,,,,,,,,,,,,,,,,,,
Vote,2025 VPD body-worn-camera budget increase,"Adds $2.64 million to the VPD budget, including ongoing and one-time funding for full implementation of body-worn cameras, plus related investigative and risk-management costs.",2024-12-10,Pass,https://council.vancouver.ca/20241210/documents/regu20241210min.pdf,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Supported,Supported,Supported,Absent,,
,,,,,,,,,,,,,,,,,,
Vote,Supervised-consumption spaces,"Directs the City not to enforce the indoor-smoking prohibition for Health Canada-approved supervised-consumption sites that meet WorkSafeBC requirements, enabling supervised inhalation services.",2023-05-31,Pass,https://council.vancouver.ca/20230531/documents/pspc5.pdf,Absent,Supported,Supported,Supported,Supported,Supported,Supported,Absent,Supported,Supported,Absent,,
CouncilVote,9299,R5. Council Resolution - Supervised Consumption Spaces - Amendment to the Amendment,2023-05-31,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,Absent,,
CouncilVote,9300,R5. Council Resolution - Supervised Consumption Spaces - Amended Amendment,2023-05-31,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,Absent,,
CouncilVote,9301,R5. Council Resolution - Supervised Consumption Spaces - Final Motion,2023-05-31,,,Absent,In Favour,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,Absent,,
,,,,,,,,,,,,,,,,,,
Vote,Blocking overdose prevention site in downtown Vancouver,Directs staff to use all lawful city tools to prevent the opening of a proposed overdose prevention site at 900 Helmcken Street.,2026-05-05,Pass,https://vancouver.citynews.ca/2026/05/05/vancouver-proposed-overdose-prevention-site-mayor-motion/,Supported,Supported,Supported,Supported,Supported,Supported,Supported,Opposed,Opposed,Opposed,Opposed,Opposed,Opposed
,,,,,,,,,,,,,,,,,,
Vote,Broadway active-transport lanes,Rejects near-term protected active-transport lanes on Broadway while preserving an option to add them later.,2023-03-30,Pass,https://vancouver.citynews.ca/2023/03/30/vancouver-broadway-bike-lane-vote/,Supported,Supported,Absent,Supported,Supported,Supported,Supported,Absent,Opposed,Opposed,Opposed,,
CouncilVote,9138,2. Broadway Active Transportation Lanes - Next Steps,2023-03-30,,,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,Absent,In Opposition,In Opposition,In Opposition,,
